_id,name_cn,name_en,type,show_time,score,avatar
79203,盗墓笔记,Time Raiders,"惊悚,悬疑,奇幻",2016-08-05中国大陆上映,8.0,https://p0.meituan.net/movie/f102433d0e445907c8e80a8a40af2974306666.jpg@1l_1e_1c_128w_180h
1310071,泰迦奥特曼剧场版 新世代CLIMAX,劇場版ウルトラマンタイガ ニュージェネクライマックス,"剧情,科幻,冒险",,暂无评分,https://p0.meituan.net/movie/d3c348cd5640a15414ad7662e49e122b161074.jpg@1l_1e_1c_128w_180h
345419,沉睡魔咒2,Maleficent: Mistress of Evil,"冒险,家庭,奇幻",2019-10-18中国大陆上映,9.1,https://p1.meituan.net/moviemachine/c68e3fff79463952b33cbc1e1b45442b1772992.jpg@1l_1e_1c_128w_180h
344183,奇门遁甲,The Thousand Faces of Dunjia,"喜剧,动作,奇幻",2017-12-14中国大陆上映,7.7,https://p0.meituan.net/movie/f9dc4505ba214ad5d7648a3cb8483044446325.jpg@1l_1e_1c_128w_180h
246234,美国队长3,Captain America: Civil War,"动作,冒险,科幻",2016-05-06中国大陆上映,8.6,https://p1.meituan.net/movie/2edb8ee4bcd46ccc7d729a765708674c362784.jpg@1l_1e_1c_128w_180h
64794,世界最大的影视城: 横店影视城,世界最大の映画村 誕生,纪录片,2007-09-01中国大陆上映,6.7,https://p0.meituan.net/movie/93e18f768f28c15cc446bb042df6fe1635923.jpg@1l_1e_1c_128w_180h
67517,名侦探柯南特典：怪盗基德诞生的秘密,名探偵コナン スペシャル 怪盗キッド誕生の秘密,"剧情,悬疑,犯罪",2010-04-24日本上映,暂无评分,https://p1.meituan.net/movie/d270e1cc8b74cdec6554ef4e645df8ab37160.jpg@1l_1e_1c_128w_180h
360504,诛仙1,Jade Dynasty,"古装,爱情,奇幻",2019-09-13中国大陆上映,7.6,https://p0.meituan.net/movie/845dce25ba800e91ac591b683a0c3ba92450317.jpg@1l_1e_1c_128w_180h
719872,熊出没的开垦地,熊の出る開墾地,动作,1932-04-14日本上映,暂无评分,https://p1.meituan.net/mmdb/9efcbbfcd8d12920ec7b37eaa3433f8128572.jpg@1l_1e_1c_128w_180h
1301277,灭狐行动,,"动作,剧情",,暂无评分,https://p0.meituan.net/moviemachine/860328e8268d8c86addbeaca1dd16cd1992444.png@1l_1e_1c_128w_180h
